Dependents,tenure,MultipleLines,OnlineSecurity,TechSupport,StreamingTV,PaperlessBilling,MonthlyCharges,Churn,ChargesPerTenure,TenureGroup,NumAddons,HasStreaming,IsLongTermContract,IsAutoPayment,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,Segment,Segment_Label
1,1.6125732136881423,1,1,1,1,0,1.1667991227933967,0,-0.5073511434794122,3,4,1,1,1,0,1,0,0,0,1,0,0,1,Stable Mid-Risk
0,-1.1172721918246462,0,0,0,0,1,0.1629377330323022,1,0.6889114238281955,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
0,0.5532302205040753,0,0,0,0,1,0.3324639942171226,0,-0.4813209421488736,2,1,0,0,1,0,1,0,1,0,0,1,0,0,Critical Churn-Risk
0,0.0643026851883519,1,0,0,1,1,1.3811999825271402,1,-0.3124040023919224,2,4,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
0,-0.8728084241667845,1,0,0,1,1,1.0986562138857725,1,0.2847360717185568,0,3,1,0,1,0,1,0,1,0,0,0,0,0,Critical Churn-Risk
1,-0.9135523854430948,0,0,0,0,0,-0.5068572008645872,0,-0.1412818166499335,0,1,0,1,0,1,0,0,0,1,0,0,0,2,Vulnerable High-Risk
1,1.5310852911355222,1,1,0,1,1,0.1463175113475158,0,-0.5533244425395252,3,3,1,1,1,1,0,0,0,0,1,1,0,1,Stable Mid-Risk
1,-0.6283446565089229,0,0,0,0,0,-1.46418196990828,0,-0.5325314573567296,1,0,0,1,0,0,0,1,0,1,0,0,0,3,Loyal Low-Risk
0,1.24587756220135,1,1,1,1,1,0.5003282332334644,0,-0.5214563555753458,3,5,1,1,1,1,0,0,0,0,1,1,0,1,Stable Mid-Risk
0,-0.791320501614164,1,1,1,1,1,0.3790006149345245,0,-0.0317533092096543,1,4,1,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk
0,0.6754621043330061,1,0,0,0,1,0.6548962949019775,0,-0.4698218600057435,3,1,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
0,-1.2395040756535771,0,0,0,0,0,-0.5168293338754589,0,1.249212272962135,0,1,0,0,0,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk
0,-1.2395040756535771,0,0,0,1,1,0.526920587929123,1,2.470979402323642,0,1,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
0,0.797693988161937,1,1,1,1,1,0.4970041888965074,0,-0.4914498251727847,3,4,1,1,1,1,0,0,0,0,1,1,0,1,Stable Mid-Risk
1,1.490341329859212,1,1,1,0,1,-0.0215467276688259,0,-0.5601203450670613,3,3,0,1,1,1,0,0,0,0,1,1,0,1,Stable Mid-Risk
0,0.4309983366751445,1,0,0,1,1,0.8460288442770204,0,-0.4276666493393689,2,2,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
0,-0.7098325790615434,0,1,0,1,1,1.1402067680977384,1,0.0558979210957107,1,4,1,0,1,0,1,0,1,0,0,1,0,0,Critical Churn-Risk
0,-0.3023929662984406,1,1,1,1,1,0.1562896443583875,0,-0.3550679360965809,2,3,1,0,1,1,0,0,1,0,0,1,0,1,Stable Mid-Risk
0,-0.9950403079957154,1,0,0,0,1,0.526920587929123,1,0.3789301670156688,0,1,0,0,1,0,1,0,1,0,0,1,0,0,Critical Churn-Risk
1,1.1236456783724194,0,1,1,0,1,0.3341260163856011,0,-0.5238618052910661,3,5,1,1,1,1,0,0,0,1,0,1,0,1,Stable Mid-Risk
0,-0.5876006952326126,1,0,0,1,1,1.0188791497987983,1,-0.0806830904427639,1,2,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
1,1.24587756220135,1,1,0,1,1,1.1584890119510036,0,-0.4853432149085098,3,3,1,1,1,0,1,0,0,1,0,1,0,1,Stable Mid-Risk
1,1.368109446030281,1,0,1,1,1,1.451004913603243,0,-0.4781497146663785,3,5,1,1,0,0,1,0,0,1,0,0,1,1,Stable Mid-Risk
1,0.0643026851883519,1,0,0,0,0,-1.3245721077560746,0,-0.583883104293724,2,0,0,1,1,0,0,1,0,0,1,1,0,3,Loyal Low-Risk
0,1.6125732136881423,1,0,1,1,1,1.419426492402149,0,-0.4951984994913474,3,4,1,1,1,0,1,0,0,0,1,1,0,1,Stable Mid-Risk
0,0.5939741817803856,1,0,0,1,1,1.1867433888151402,0,-0.4226923875395292,2,3,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
0,1.1236456783724194,1,0,0,1,1,0.8343946890976701,0,-0.4950621885579178,3,2,1,0,1,0,1,0,1,0,0,0,0,0,Critical Churn-Risk
0,1.6125732136881423,0,1,0,0,0,-0.7544985039679034,0,-0.5997751990728533,3,3,0,1,1,1,0,0,0,0,1,0,0,1,Stable Mid-Risk
1,-0.5876006952326126,0,0,1,0,1,-0.3456410505221597,0,-0.3328799090496523,1,2,0,1,1,1,0,0,0,1,0,1,0,1,Stable Mid-Risk
0,-0.9542963467194052,1,0,0,1,0,0.9839766842607472,1,0.4348305526584299,0,2,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
0,-1.1987601143772668,0,0,1,1,1,0.3490842159019089,0,1.5303354420588513,0,4,1,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk
0,0.5939741817803856,1,0,0,0,1,0.4687498120323708,0,-0.4752205921458361,2,1,0,1,0,0,1,0,0,1,0,0,1,0,Critical Churn-Risk
0,-0.0579291986405789,0,0,1,1,0,0.4787219450432425,0,-0.3781893253036304,2,5,1,1,0,1,0,0,0,0,1,0,0,1,Stable Mid-Risk
1,0.7162060656093164,0,0,0,0,0,-1.4841262359300234,0,-0.6209749158750464,3,0,0,1,1,0,0,1,0,0,1,0,0,3,Loyal Low-Risk
0,-0.9135523854430948,0,1,0,0,1,0.5003282332334644,0,0.1802544660917023,0,2,0,0,0,0,1,0,1,0,0,0,0,0,Critical Churn-Risk
0,-1.2802480369298874,0,0,1,0,0,-0.5234774225493735,0,2.1956927004054045,0,1,0,0,0,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk
1,0.797693988161937,0,0,0,0,1,-1.4758161250876305,0,-0.6221646655662568,3,0,0,1,0,0,0,1,0,1,0,0,1,3,Loyal Low-Risk
1,1.2866215234776603,1,1,1,1,1,1.5557123102173966,0,-0.4666791469096397,3,5,1,1,1,0,1,0,0,0,1,0,0,1,Stable Mid-Risk
1,1.2051336009250395,1,0,0,0,1,-1.3478404181147754,0,-0.6221629175976499,3,0,0,1,1,0,0,1,0,0,1,0,0,3,Loyal Low-Risk
1,-1.1987601143772668,0,1,1,0,1,-0.0099125724894757,0,1.2151662144210102,0,3,1,0,1,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk
0,0.960669833267178,1,1,0,1,0,1.5191478225108668,0,-0.4408033547709923,3,5,1,1,0,0,1,0,0,1,0,0,1,1,Stable Mid-Risk
0,0.5532302205040753,0,0,0,0,0,-0.3040904963101938,0,-0.5288819406458369,2,1,1,1,1,1,0,0,0,1,0,1,0,3,Loyal Low-Risk
1,-0.9950403079957154,0,1,0,0,0,-0.3373309396797665,0,0.041712063370242,0,2,0,0,0,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk
0,-0.0986731599168891,0,1,0,1,1,0.330801972048644,0,-0.3856261141278208,2,4,1,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk
1,0.512486259227765,1,0,0,0,1,-1.2929936865549807,0,-0.6013707550197989,2,0,0,1,1,0,0,1,0,1,0,1,0,3,Loyal Low-Risk
1,-1.2802480369298874,0,0,0,1,1,0.4837080115486781,1,3.964142255484401,0,1,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
1,-0.8728084241667845,0,1,0,1,0,-0.4736167574950145,0,-0.1753720908515013,0,3,1,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk
0,-1.0357842692720256,0,0,0,0,1,0.3440981493964733,1,0.4294318205183373,0,1,0,0,1,0,1,0,1,0,0,0,0,0,Critical Churn-Risk
0,0.3902543753988342,0,0,1,1,1,1.2964368519347298,0,-0.3853152445331682,2,5,1,0,1,0,1,0,1,0,0,0,0,0,Critical Churn-Risk
0,0.6754621043330061,0,0,0,0,1,-1.4841262359300234,0,-0.620052525179781,3,0,0,1,1,0,0,1,0,0,1,0,0,3,Loyal Low-Risk
0,-0.9542963467194052,1,0,0,1,1,1.1468548567716528,0,0.4920279310075194,0,3,1,0,1,0,1,0,1,0,0,1,0,0,Critical Churn-Risk
0,0.1050466464646622,0,1,0,1,1,-0.0880276144079715,0,-0.4655742088925174,2,2,1,1,1,1,0,0,0,1,0,0,0,1,Stable Mid-Risk
1,0.6347181430566958,0,0,0,0,0,-1.4675060142452372,0,-0.6179013701339989,2,0,0,1,1,0,0,1,0,0,1,0,0,3,Loyal Low-Risk
1,0.5532302205040753,0,0,0,0,1,-1.4907743246039378,0,-0.6175465696976172,2,0,0,1,0,0,0,1,0,0,1,0,0,3,Loyal Low-Risk
0,-0.1394171211931994,0,0,0,1,0,-1.0320562061038352,0,-0.5357739391225509,2,1,1,0,0,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk
1,-0.0986731599168891,0,0,0,0,0,0.5734572086465244,0,-0.3581382364485348,2,2,0,0,1,0,1,0,1,0,0,0,0,0,Critical Churn-Risk
0,-1.2802480369298874,0,0,1,0,0,0.3291399498801655,0,3.6927465316851498,0,1,0,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
1,1.368109446030281,1,1,1,1,1,0.6382760732171912,0,-0.5207472139242293,3,5,1,1,0,1,0,0,0,0,1,0,0,1,Stable Mid-Risk
0,1.3273654847539706,1,1,0,1,1,1.5374300663641316,0,-0.4706884869504266,3,5,1,0,1,0,1,0,1,0,0,1,0,0,Critical Churn-Risk
0,1.6125732136881423,1,0,0,1,1,1.2000395661629697,0,-0.5057521113757195,3,4,1,1,1,0,1,0,0,0,1,0,0,1,Stable Mid-Risk
0,-0.8320644628904743,1,1,0,0,1,0.4704118342008493,1,0.0418118320399597,0,1,0,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
1,1.5718292524118322,1,1,1,0,1,0.0682024694290198,0,-0.5587144976157374,3,3,0,1,1,1,0,0,0,1,0,1,0,1,Stable Mid-Risk
0,-1.1172721918246462,0,0,0,0,0,-1.454209836897408,1,-0.257569003615074,0,0,0,0,0,0,0,1,1,0,0,0,0,2,Vulnerable High-Risk
0,0.797693988161937,0,0,0,0,0,-1.4558718590658866,0,-0.6208432012994315,3,0,0,1,1,0,0,1,0,0,1,0,0,3,Loyal Low-Risk
0,-0.3023929662984406,0,0,0,1,1,1.1202625020759949,1,-0.2248698221151365,2,4,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
0,-1.2802480369298874,0,0,0,0,0,-1.4824642137615447,0,0.5118719194143465,0,0,0,0,0,0,0,1,1,0,0,0,0,2,Vulnerable High-Risk
1,-1.2802480369298874,0,0,0,0,0,-1.5073945462887242,0,0.4680984155757574,0,0,0,0,0,0,0,1,1,0,0,0,1,2,Vulnerable High-Risk
0,0.227278530293593,1,0,1,1,0,1.0039209502824906,0,-0.3827537419432098,2,3,1,1,1,0,1,0,0,1,0,0,0,1,Stable Mid-Risk
0,1.368109446030281,0,0,0,1,0,-0.6398189743428778,0,-0.5877359193010949,3,3,1,1,1,1,0,0,0,1,0,0,0,1,Stable Mid-Risk
0,1.4495973685829016,1,0,1,1,1,1.5025276008260804,1,-0.481004192773785,3,5,1,1,1,0,1,0,0,0,1,0,0,1,Stable Mid-Risk
0,-1.1172721918246462,0,0,0,0,0,-1.346178395946297,0,-0.1943406091815565,0,0,0,0,0,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk
1,1.6125732136881423,1,1,0,1,1,1.3080710071140806,0,-0.5005552570387182,3,4,1,1,0,0,1,0,0,1,0,0,1,1,Stable Mid-Risk
0,-0.0171852373642686,0,1,0,0,0,-1.1517218022342968,0,-0.5604462776497556,2,1,0,1,0,1,0,0,0,1,0,0,0,3,Loyal Low-Risk
0,0.4309983366751445,1,0,0,1,0,0.982314662092268,0,-0.4167895968703862,2,2,1,1,0,0,1,0,0,1,0,0,0,0,Critical Churn-Risk
1,1.6125732136881423,0,0,0,0,0,-1.509056568457203,0,-0.6360732278266787,3,0,0,1,1,0,0,1,0,0,1,1,0,3,Loyal Low-Risk
0,0.9199258719908678,1,1,0,1,1,1.0620917261792426,1,-0.4654236650962471,3,3,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
0,0.797693988161937,0,1,1,0,0,-0.2276374765601766,0,-0.5394630268674383,3,3,0,1,1,1,0,0,0,1,0,1,0,1,Stable Mid-Risk
0,0.4309983366751445,0,0,0,1,1,0.8925654649944222,0,-0.4239525338621553,2,3,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
0,0.1865345690172827,1,0,0,0,1,0.3889727479453962,1,-0.4320998510837874,2,0,0,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
1,1.2866215234776603,0,0,1,1,1,-0.338992961848245,0,-0.5690418020398786,3,4,1,1,0,1,0,0,0,0,1,0,1,1,Stable Mid-Risk
1,-1.1987601143772668,0,1,0,1,0,0.8327326669291911,0,1.9549384292931649,0,3,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
0,0.1457906077409725,0,1,0,0,0,-1.1218054032016815,0,-0.5691364474535837,2,1,0,1,1,1,0,0,0,0,1,0,0,3,Loyal Low-Risk
1,-0.9135523854430948,1,1,0,1,1,1.178433277972747,1,0.3967343396207244,0,3,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
0,0.3495104141225239,0,0,0,0,0,-1.4675060142452372,0,-0.6097025233832791,2,0,0,1,0,0,0,1,0,0,1,0,0,3,Loyal Low-Risk
1,-0.22090504374582,1,0,1,0,1,0.6781646052606785,0,-0.3119037337766241,2,2,0,0,1,0,1,0,1,0,0,1,0,0,Critical Churn-Risk
1,0.960669833267178,1,0,0,1,1,1.1634750784564392,0,-0.4627157052305433,3,3,1,1,1,0,1,0,0,1,0,1,0,1,Stable Mid-Risk
0,-1.076528230548336,0,0,0,0,0,-1.4658439920767583,0,-0.3219091060825874,0,0,0,0,0,0,0,1,1,0,0,0,0,2,Vulnerable High-Risk
0,-1.1987601143772668,1,0,0,0,1,0.3191678168692938,1,1.504071339755698,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
1,-1.0357842692720256,0,1,0,0,0,-0.4686306909895784,0,0.0726777642338366,0,1,0,0,0,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk
1,-1.1580161531009563,0,0,0,0,0,-1.4608579255713223,0,-0.180333087953208,0,0,0,0,0,0,0,1,1,0,0,0,0,2,Vulnerable High-Risk
0,0.0235587239120416,0,1,1,1,1,0.802816267896576,0,-0.3617098885643969,2,3,1,1,0,0,1,0,0,0,1,0,1,1,Stable Mid-Risk
0,-0.22090504374582,1,0,0,0,1,0.4404954351682337,1,-0.3417114054381395,2,1,0,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
0,1.6125732136881423,1,0,0,0,1,-1.3711087284734764,0,-0.6294372445963538,3,0,0,1,1,0,0,1,0,0,1,0,0,3,Loyal Low-Risk
0,-1.2802480369298874,0,0,0,0,0,-1.4974224132778524,0,0.4856078171111931,0,0,0,0,0,0,0,1,1,0,0,0,0,2,Vulnerable High-Risk
0,1.5718292524118322,0,1,0,1,1,-0.2774981416145356,0,-0.5755754027980087,3,4,1,1,0,1,0,0,0,1,0,0,1,1,Stable Mid-Risk
0,-0.791320501614164,1,0,0,0,1,0.703094937787858,0,0.0495403407762966,1,1,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
1,-0.3023929662984406,0,1,0,1,1,-0.2060311883699544,1,-0.4040044685930547,2,5,1,0,1,1,0,0,1,0,0,1,0,2,Vulnerable High-Risk
0,1.4088534073065913,0,0,1,0,0,-0.4736167574950145,0,-0.5803199165582915,3,1,0,1,1,1,0,0,0,0,1,0,0,3,Loyal Low-Risk
0,-1.2802480369298874,0,0,0,0,1,-0.9755474523755616,1,1.4019331641323236,0,1,1,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk
0,-1.2395040756535771,0,0,0,0,0,-0.6797075063863649,1,1.0585543451318362,0,0,0,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk
0,0.4309983366751445,1,0,0,0,1,-1.2996417752288951,0,-0.5989139022351824,2,0,0,1,1,0,0,1,0,0,1,1,0,3,Loyal Low-Risk
0,-0.3838808888510611,0,1,0,0,1,0.3391120828910372,0,-0.3023152519834094,1,1,0,0,1,0,1,0,1,0,0,0,0,0,Critical Churn-Risk
1,1.2866215234776603,0,0,0,0,0,-1.4824642137615447,0,-0.6308185623290052,3,0,0,1,0,0,0,1,0,0,1,0,0,3,Loyal Low-Risk
1,1.0014137945434884,0,0,0,0,1,-1.5024084797832884,0,-0.6276479828113596,3,0,0,1,0,0,0,1,0,0,1,0,0,3,Loyal Low-Risk
0,-1.2802480369298874,0,0,0,0,1,0.1878680655594816,1,3.444696676599812,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Critical Churn-Risk
1,1.6125732136881423,1,1,1,1,1,0.7728998688639604,0,-0.5262996739081713,3,6,1,1,1,1,0,0,0,0,1,1,0,1,Stable Mid-Risk
0,-0.9950403079957154,1,1,1,0,0,0.2111363759181826,1,0.2557158599144551,0,3,1,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk
0,1.1643896396487294,1,0,0,1,1,1.205025632668405,0,-0.4768444479333967,3,3,1,1,1,0,1,0,0,0,1,0,0,1,Stable Mid-Risk
0,1.2866215234776603,1,1,0,0,1,0.6482482062280629,0,-0.5157054712088593,3,2,0,1,1,0,1,0,0,1,0,1,0,1,Stable Mid-Risk
0,1.5718292524118322,1,0,0,0,0,-1.3578125511256471,0,-0.6282657314926067,3,0,0,1,1,0,0,1,0,0,1,0,0,3,Loyal Low-Risk
1,1.3273654847539706,1,1,1,1,1,1.1385447459292597,0,-0.4919120039630758,3,4,1,1,1,0,1,0,0,0,1,1,0,1,Stable Mid-Risk
0,-1.1987601143772668,0,0,0,0,0,-1.5024084797832884,0,-0.0951206671474213,0,0,0,1,0,0,0,1,0,1,0,0,0,3,Loyal Low-Risk
0,-1.2802480369298874,0,0,0,0,1,-0.6364949300059205,1,1.997252816337134,0,0,0,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk
1,-0.0986731599168891,0,0,0,1,0,-0.0099125724894757,0,-0.424222106759695,2,3,1,1,1,1,0,0,0,1,0,1,0,1,Stable Mid-Risk
1,-0.7098325790615434,0,0,1,0,1,0.1562896443583875,0,-0.1600513645079951,1,4,1,0,0,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk
1,-0.9950403079957154,0,0,1,1,1,0.1247112231572934,0,0.2219940495499124,0,3,1,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk
0,-1.0357842692720256,1,0,0,1,0,1.0039209502824906,1,0.7190665042503346,0,2,1,0,0,0,1,0,1,0,0,0,0,0,Critical Churn-Risk
1,1.5310852911355222,1,1,0,1,1,1.4410327805923713,0,-0.4892877111024155,3,5,1,1,1,0,1,0,0,1,0,1,0,1,Stable Mid-Risk
1,1.2051336009250395,0,1,1,1,0,0.7080810042932936,0,-0.5075643477599048,3,6,1,1,0,1,0,0,0,0,1,0,1,1,Stable Mid-Risk
1,-1.076528230548336,0,0,0,0,0,-1.499084435446331,0,-0.3385847265925261,0,0,0,0,0,0,0,1,1,0,0,0,0,2,Vulnerable High-Risk
1,-0.7505765403378537,0,0,0,0,1,0.5352306987715161,0,-0.0375341909864331,1,1,1,0,1,0,1,0,1,0,0,0,0,0,Critical Churn-Risk
0,-0.4246248501273714,1,0,0,1,1,0.6432621397226272,0,-0.2400173088392146,1,1,1,0,1,0,1,0,1,0,0,0,0,0,Critical Churn-Risk
1,-0.4246248501273714,0,0,0,0,0,-1.4841262359300234,0,-0.5648293952936724,1,0,0,1,0,0,0,1,0,1,0,0,0,3,Loyal Low-Risk
1,-0.6690886177852331,0,1,0,1,0,-0.0182226833318689,0,-0.2259261962650874,1,3,1,1,0,1,0,0,0,0,1,0,0,1,Stable Mid-Risk
0,-0.9135523854430948,1,0,0,0,0,-1.2996417752288951,0,-0.3943722570257754,0,0,0,1,1,0,0,1,0,0,1,0,0,3,Loyal Low-Risk
1,-0.791320501614164,0,1,0,0,1,-0.2924563411308434,0,-0.200177076360035,1,2,0,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk
0,-0.506112772679992,1,1,0,0,0,0.5850913638258751,1,-0.2090707406320023,1,1,0,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
0,-1.2395040756535771,0,0,0,0,1,0.1629377330323022,0,2.0449172982947093,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
0,0.8384379494382472,1,0,1,0,1,0.3025475951845074,0,-0.5073481823088499,3,4,1,1,1,1,0,0,0,0,1,0,0,1,Stable Mid-Risk
1,-0.8728084241667845,0,0,0,0,0,-1.4691680364137156,0,-0.4667090775105549,0,0,0,1,0,0,0,1,0,1,0,0,0,3,Loyal Low-Risk
0,1.490341329859212,0,0,0,0,0,-1.4924363467724169,0,-0.6339099658235401,3,0,0,1,0,0,0,1,0,0,1,0,0,3,Loyal Low-Risk
